institucion,Num_Revistas,Total_Articulos,Articulos_OpenAlex,Total_Citaciones,Indice_Visibilidad_Promedio,H_Index_Promedio
Pontificia Universidad Católica,16,9546,5402,16339,1.25,10.25
jotmi.org,1,960,850,13671,14.24,51.0
chungara.cl,1,162,1047,7883,48.66,34.0
Universidad de Concepción,5,1507,1199,6872,2.49,10.4
Universidad de Chile,12,2533,2286,5459,1.45,7.67
ms-editions.cl,1,439,1115,4854,11.06,26.0
revistaproyecciones.cl,1,1251,1159,3222,2.58,21.0
Universidad Católica de la Santísima Concepción,2,843,388,1870,1.36,13.0
Universidad de Valparaíso,8,1601,1466,1583,0.6,4.25
analesdelinstitutodelapatagonia.cl,1,458,360,1242,2.71,14.0
revistaotorrino-sochiorl.cl,1,994,966,1213,1.22,11.0
revistainclusiones.org,1,2671,2049,1124,0.42,14.0
ucn.cl,1,743,779,968,1.3,11.0
Universidad de Santiago,6,1701,842,737,0.37,3.67
uautonoma.cl,5,526,598,724,1.22,4.6
Universidad Metropolitana de Ciencias de la Educación,1,249,234,554,2.22,9.0
Universidad Católica de Temuco,2,1629,324,461,0.32,9.5
ucsh.cl,2,585,435,375,0.65,5.0
Universidad del Bío-Bío,2,343,118,372,0.85,6.5
unam.mx,1,897,315,292,0.33,5.0
academia.cl,3,416,329,287,0.63,3.67
sophiaaustral.cl,1,196,120,266,1.36,7.0
neumologia-pediatrica.cl,1,372,354,240,0.65,6.0
revistareder.com,1,167,118,224,1.34,7.0
upla.cl,1,208,171,204,0.98,6.0
ucv.cl,1,157,133,203,1.29,7.0
udla.cl,1,122,71,195,1.6,8.0
observatorioeconomico.cl,1,554,632,181,0.33,5.0
ucm.cl,3,264,181,166,0.46,3.0
autoctonia.cl,1,275,185,135,0.49,6.0
cuadernos.info,1,822,35,129,0.16,17.0
uft.cl,3,239,131,95,0.38,3.0
sochiem.cl,1,51,43,79,1.55,4.0
Universidad Austral de Chile,1,137,116,72,0.53,4.0
uandes.cl,1,152,110,51,0.34,4.0
udp.cl,1,161,131,50,0.31,3.0
haal.cl,1,114,83,43,0.38,4.0
Universidad de Los Lagos,1,129,37,30,0.23,3.0
nuestramerica.cl,1,327,168,18,0.06,2.0
revpropulsion.cl,1,70,57,16,0.23,2.0
reinnec.cl,1,125,17,8,0.06,3.0
ufro.cl,1,36,0,0,0.0,2.0
unach.cl,1,35,0,0,0.0,1.0
unab.cl,2,102,0,0,0.0,1.0
100cs.cl,1,157,0,0,0.0,0.0
uai.cl,1,148,1,0,0.0,0.0
revistasochmedep.cl,1,69,0,0,0.0,0.0
revistareumatologia.cl,1,88,0,0,0.0,0.0
revistaprotestaycarisma.cl,1,61,0,0,0.0,1.0
revistaobservatoriodeldeporte.cl,1,254,0,0,0.0,1.0
reidu.cl,1,68,0,0,0.0,3.0
revistanotashistoricasygeograficas.cl,1,420,0,0,0.0,1.0
