"pais","pais_codigo","instalaciones_activas","total_publicaciones_2023","promedio_pub_por_instalacion"
"Indonesia","ID",22243,657233,29.5
"Brasil","BR",3981,200438,50.3
"DESCONOCIDO","DESCONOCIDO",1685,100621,59.7
"Estados Unidos","US",1556,72447,46.6
"India","IN",1364,83549,61.3
"España","ES",1270,46012,36.2
"Tailandia","TH",1088,40254,37
"Ucrania","UA",1009,63599,63
"Rusia","RU",907,74527,82.2
"Colombia","CO",859,23130,26.9
"Pakistán","PK",843,33571,39.8
"Argentina","AR",760,24530,32.3
"México","MX",735,25886,35.2
"Polonia","PL",679,27345,40.3
"Nigeria","NG",613,21718,35.4
"Italia","IT",566,20731,36.6
"Malasia","MY",503,13693,27.2
"Perú","PE",447,11211,25.1
"Alemania","DE",398,29326,73.7
"Canadá","CA",395,15020,38
"GB","GB",372,17552,47.2
"EC","EC",355,12410,35
"NP","NP",315,6139,19.5
"CL","CL",314,12904,41.1
"TR","TR",314,16750,53.3
"UZ","UZ",300,77527,258.4
"PT","PT",270,9374,34.7
"IQ","IQ",243,23185,95.4
"SG","SG",231,29871,129.3
"VN","VN",215,15173,70.6
"ZA","ZA",215,7251,33.7
"HU","HU",214,8120,37.9
"RO","RO",204,9722,47.7
"VE","VE",197,7137,36.2
"KE","KE",196,4077,20.8
"RS","RS",176,6738,38.3
"MA","MA",131,5122,39.1
"FI","FI",129,5719,44.3
"IR","IR",125,6635,53.1
"BD","BD",118,3262,27.6
"KZ","KZ",118,8885,75.3
"CU","CU",117,9822,83.9
"PH","PH",116,6713,57.9
"CR","CR",114,3033,26.6
"SI","SI",114,4091,35.9
"DK","DK",111,3946,35.5
"NL","NL",109,8412,77.2
"CZ","CZ",104,3561,34.2
"CN","CN",101,9974,98.8
"LT","LT",94,3050,32.4
"AU","AU",90,2812,31.2
"FR","FR",90,4846,53.8
"SE","SE",89,2739,30.8
"BE","BE",88,5480,62.3
"GR","GR",85,4837,56.9
"HR","HR",83,2750,33.1
"DZ","DZ",81,3893,48.1
"PY","PY",77,4894,63.6
"BO","BO",74,1698,22.9
"ET","ET",74,3146,42.5
"CH","CH",73,2659,36.4
"GE","GE",72,2628,36.5
"LY","LY",71,3196,45
"UY","UY",70,2411,34.4
"NO","NO",66,1572,23.8
"JO","JO",64,3216,50.2
"BA","BA",61,1727,28.3
"PA","PA",58,1125,19.4
"BG","BG",55,2091,38
"AT","AT",52,1413,27.2
"NZ","NZ",51,2212,43.4
"MK","MK",50,2588,51.8
"GH","GH",44,875,19.9
"TZ","TZ",44,1067,24.2
"EE","EE",38,1109,29.2
"YE","YE",38,2115,55.7
"AE","AE",36,2214,61.5
"SK","SK",30,1412,47.1
"SY","SY",30,3116,103.9
"AM","AM",29,1165,40.2
"LV","LV",29,4275,147.4
"LK","LK",28,440,15.7
"GT","GT",26,559,21.5
"MN","MN",24,2789,116.2
"SV","SV",23,507,22
"BY","BY",22,1064,48.4
"SA","SA",21,584,27.8
"EG","EG",20,918,45.9
"KW","KW",20,453,22.6
"MH","MH",20,3979,198.9
"KG","KG",19,1294,68.1
"DO","DO",18,476,26.4
"MD","MD",18,1022,56.8
"PR","PR",17,273,16.1
"TW","TW",16,365,22.8
"AL","AL",15,1783,118.9
"NI","NI",15,394,26.3
"JP","JP",14,754,53.9
"ZM","ZM",14,262,18.7
"PS","PS",13,438,33.7
"AZ","AZ",12,522,43.5
"SD","SD",12,218,18.2
"UG","UG",12,1639,136.6
"CM","CM",10,1099,109.9
"TN","TN",10,458,45.8
"ZW","ZW",10,224,22.4
"AO","AO",9,144,16
"BT","BT",9,172,19.1
"CD","CD",9,251,27.9
"IE","IE",9,128,14.2
"IL","IL",9,135,15
"IS","IS",9,248,27.6
"KR","KR",8,262,32.8
"OM","OM",8,411,51.4
"QA","QA",8,383,47.9
"CY","CY",7,229,32.7
"MU","MU",7,405,57.9
"TT","TT",7,132,18.9
"AF","AF",6,255,42.5
"LB","LB",6,243,40.5
"ME","ME",6,763,127.2
"ML","ML",6,117,19.5
"RW","RW",6,142,23.7
"BN","BN",4,59,14.8
"BW","BW",4,39,9.8
"HN","HN",4,51,12.8
"NA;NA","NA;NA",4,29,7.2
"SN","SN",4,116,29
"TL","TL",4,71,17.8
"VU","VU",4,3990,997.5
"BJ","BJ",3,37,12.3
"MW","MW",3,59,19.7
"SO","SO",3,36,12
"SZ","SZ",3,64,21.3
"BF","BF",2,230,115
"GM","GM",2,65,32.5
"HK","HK",2,16,8
"KH","KH",2,27,13.5
"MO","MO",2,45,22.5
"MV","MV",2,26,13
"MZ","MZ",2,33,16.5
"BB","BB",1,24,24
"BH","BH",1,24,24
"CC","CC",1,35,35
"CG","CG",1,45,45
"CI","CI",1,28,28
"GN","GN",1,21,21
"GY","GY",1,10,10
"MG","MG",1,13,13
"MM","MM",1,74,74
"MT","MT",1,30,30
"NF","NF",1,6,6
"PW","PW",1,24,24
"TG","TG",1,194,194
